Title,Industries,Job Skills
Human Resource Administration Executive,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Strong Communication Skill and High level of problem solving and Negotiation Skills and Office and Administration and Time management and Media Production and Human Resource Manangement
Human Resource Executive,"['Entertainment Events', 'Entertainment Events', 'Entertainment Events', 'Entertainment Events']",Administration and Planing and organizing and Proactive and teamwork skills and Administration HR
Human Resource Manager Chinese English Burmese,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",communication with all levels and HR Management Operation Admin and Language Fluent in English and Proactive and teamwork skills and IT literacy
Human Resources Officer,['Travel Tourism Transportation'],HR Skill Knowledge
I C technician,['Energy Utilities'],Proactive and teamwork skills
IT Application Support Ywarthargyi,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Communicative English and Technical skill and Developing Website and Communicative English and Technical skill and Developing Website
IT Assistant,['Construction Engineering'],IT literacy
IT Associate,"['Education Training', 'Education Training', 'Education Training']",Microsoft and Cloud Computing AWS and operation project
IT Programmer,['Recruitment'],Proactive and teamwork skills
IT Supervisor,['Hospitality Hotel'],IT literacy
IT Support Associate EPS,['Travel Tourism Transportation'],Networking basic knowledge
IT Support Engineer,"['IT Telecom', 'IT Telecom', 'IT Telecom']",Able to work under pressure and Good communication skills and Good in IT knowledge
IT Support administrator,['Medical Healthcare'],System Network Administrator
IT Technician,"['IT Telecom', 'IT Telecom']",IT Technicial support and IT Service Management
Import Officer Male Female Post Yangon Pazontaung,['Shipping Logistics'],Jobs relevant to Shipping Line
Import Officer Yangon Male Pazontaung,['Shipping Logistics'],Import Document Management
In Campus English Teacher,['Education Training'],Proactive and teamwork skills
Injection Machine Operator Hlaing Thar Yar,"['Manufacturing Warehousing', 'Manufacturing Warehousing']",Injection Blowing Machine and Plastic Injection Molding
Injection Machine Operator Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Factory Maintenance and Utility and Injection Blowing Machine and Plastic Injection Molding and Teamwork communication skills
Instrumental Music Teacher Urgent,['Education Training'],Singing Playing Music Instrumen
Interior Design Drafter Post,['Construction Engineering'],Design Engineer
Interior Designer,"['Agriculture', 'Construction Engineering', 'Construction Engineering']",Design and Proactive and teamwork skills and Design Engineering
Interior Site Engineer,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Proactive and teamwork skills and Proficient Problem Solving and Planning communicating monitor and Good at team work
Internal Audit MDY,['Mining Metal Chemicals'],Finance Accounting Field
Internal Auditor,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Financial Analysic Budgeting and Negotiations and Leadership skill and Reporting and analysis and Quality Auditing and Reporting and Financial Analysis and Presentation and Reporting and Coordinate and Communication
International Finance Officer,"['Medical Healthcare', 'Medical Healthcare']",Financial Management and Accounting Financial
Japanese EC Operator,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Sales Marketing and Ecommerce and SEO and Commercial and Market awareness and Ecommerce Sales and Advertising and promotion and Japanese N
Java Programmer,['BPO Business Process Outsourcing'],IT literacy
Java Programmer Japan,['IT Telecom'],Proactive and teamwork skills
Java Web Developer,['Banking Micro finance Insurance'],Web developer HTML CSS
Jr Accountant Accountant WIN MYINT MO INDUSTRIES COMPANY,['Energy Utilities'],Accounting Finance
Jr Admin Executive Male Only,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",communication interpersonal and Computer Typing English Myanmar and Computer Excel Office word pdf and Administration Data analysis
Junior Account,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",Microsoft Excel and Computerize Skill
Junior Accountant,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Banking Micro finance Insurance', 'Law Compliance', 'Law Compliance', 'Law Compliance', 'Law Compliance', 'Law Compliance', 'Law Compliance', 'Law Compliance', 'Law Compliance', 'Law Compliance', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Property Real Estate', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Accounts Payable Receivable and Sale Admin Account Logistic WH and Excel Software and Microsoft s and Accounts Payable Receivable and Sale Admin Account Logistic WH and Excel Software and Microsoft s and Banking and Finance Skill and Microsoft s and Teamwork communication skills and Bookkeeping of accounts and SUPPORT TO AUDIT and PAYROLL PROCESS and  and Email internet and MS Word MS Excel MS PowerPoin and Teamwork communication skills and Admin Data entry and  and Lcci Level Microsoft Ex and Finance Accounting Field and Accounting and LCCI Level I II III
Junior Accountant Accountant,['Construction Engineering'],Banking and Finance Skill
Junior Accountant Female post,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance']", and Computer excel word internet em
Junior Accountant For North Oakala,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Accounting and Accounts Payable Receivable and Accounting Finance and Accounting Software Application and Assistant Account and Jr Accountant
Junior Accountant Hlaing Thar Yar,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Finance Accounting Field and Management and Financial Reporting and Accounts Payable Receivable
Junior Accounting Officer AR,['Shipping Logistics'],Account Receivable AR
Junior Agronomist,"['Agriculture', 'Agriculture']",Coordinate and Communication and Team work leadership analytic
Junior Architect,"['Construction Engineering', 'Construction Engineering']",Proactive and teamwork skills and Architectural Engineering
Junior Auditor,['Agriculture'],Teamwork communication skills
Junior Auditor Win Myint Mo Industries Co Ltd,"['Mining Metal Chemicals', 'Mining Metal Chemicals', 'Mining Metal Chemicals']",Proactive and teamwork skills and SUPPORT TO AUDIT and Computer Skills Advanced
Junior Engineer Fiber Mandalay,"['IT Telecom', 'IT Telecom']",Telecommunication Industry and Telecommunication Industry
Junior Graphic Designer,['Advertising Media Communications'],Designing implementation
Junior Graphic Designer Male Female,['Retail Fashion FMCG'],Designing implementation
Junior IT Officer,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",IT Technicial support and IT Service Management and Data Security
Junior Instructor,"['Education Training', 'Education Training', 'Education Training']",Electrical Engineering and civil engineering and Mechanical Engineering
Junior Japanese Teacher,['Education Training'],Japanese Teacher
Junior Medical Sales Representative,['Medical Healthcare'],Salesman
Junior Sales Executive,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Business Development Sales and Application for Sales Marketin and Teamwork communication skills
Junior Sales Representative,['Medical Healthcare'],Salesman
Junior Senior Marketing Staff,['Education Training'],Proactive and teamwork skills
Junior Stock Controller,"['IT Telecom', 'IT Telecom', 'IT Telecom']",Computer excel word internet em and Ability to work flexibly and Computer Word Excel Stock Contr
Junior Techanical Instructor,['Education Training'],Proactive and teamwork skills
Junior Video Editor,['Advertising Media Communications'],Video photo editing
Junior Web Developer,['Recruitment'],Junior web development
KEY ACCOUNT EXECUTIVE EVENT MEDIA,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Sociable Team Player and Interpersonal skill and Strong Communication Skill and Able to under pressure and Positive attitude and Sociable Team Player and Interpersonal skill and Strong Communication Skill and Able to work under pressure and Positive attitude
KOTRA Global Staff post,['Government Public Relations'],Sales Marketing Communication
Key Account Executive,['IT Telecom'],Key Account Management
Key Account Management Specialist,['IT Telecom'],Teamwork communication skills
Key Account Manager,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Key Account Management and Client Relation Satisfaction and Matching client specification and Key Account Management and Client Relation Satisfaction and Matching client specification
Key Account Supervisor,['IT Telecom'],Slaes report and customer deal
Kitchen Admin Incharge Female Post,['Manufacturing Warehousing'],Administration HR
Korean Head Chef Knowledgeable in KOREAN ASIAN CUISINE,['Food Beverages'],Korean Food
L Transmission Engineer,['IT Telecom'],Proactive and teamwork skills
Landscape Designer,"['Agriculture', 'Construction Engineering']",Design and Proactive and teamwork skills
Laravel Developer,"['Agriculture', 'Agriculture']",Proactive and teamwork skills and Banking and Finance Skill
Lead Teachers Position,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Communication and English Intermediate and Teaching and Presentation and Teaching and Teaching Coaching and Team Work Skill
Leads Generation Specialist English speaker,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Sales Operations Process and Business development and Sales and Sales Marketing and Sale and marketing Management and Communicative English and Market Research and Digital Marketing B B Sales and Literacy with digital tools and Can use Google tools and Good Interpersonal skill
Learning Development Specialist,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",Training and Learning Development
Leasing cum Sales Admin Executive,"['Property Real Estate', 'Property Real Estate', 'Property Real Estate']",Microsoft Office and Communicative English and Drafting contracts
Legal Assistant,"['Agriculture', 'Agriculture']",Problem solving advocacy and Excellent Interpersonal Skills
Lifeguard,['Hospitality Hotel'],Proactive and teamwork skills
Livestock Sales and Marketing Manager,"['Agriculture', 'Agriculture']",Sales Marketing Manager and Veterinary knowledge
Lobby Lounge Manager,['Food Beverages'],Restaurant and Bar
Logistic Manager or A M,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Ability to manage and Microsoft word excel and Powe and 
Logistic Supervisor,['Construction Engineering'],Logistics Supply Management
Logistics Assistant,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Communication and Logistics Supply Management and Logistics Importing and Government Documentation
Logistics Associate,"['Medical Healthcare', 'Medical Healthcare']",Computing Skills and Logistics and Supply Chains
Logistics Manager,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Logistics Supply Management and Transportation management and Time management and planning and Logistics Planning and Logistics Supply Management and Transportation management and Time management and planning and Logistics Planning
Logistics Manager Male or Female Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",General management and Accounting and Logistics Importing and Export Import documentation
Logistics Officer,"['Agriculture', 'Shipping Logistics']",Businesses Development and Warehouse Management
Logistics Officer Warehouse Operations,"['Shipping Logistics', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Warehouse manage and Warehousing Management and Logistics operations
Logistics Officer Ywarthargyi,['Manufacturing Warehousing'],Logistics Warehouse Managemen
Logistics Procurement Assistant,['Manufacturing Warehousing'],Teamwork communication skills
Logistics Supervisor,"['IT Telecom', 'IT Telecom', 'IT Telecom']",Microsoft Office and Logistics Supply Management and People Management
Logistics operator Male posts,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Teamwork and collaboration and Customer Service and English Communication Skills and Logistics Supply Chain
M E Engineer Electrical Power Engineer,['Property Real Estate'],Mechanical and Electrical
M E Staff,"['Food Beverages', 'Food Beverages']",Electrical Engineering and Driver Site Engineer
MEDICAL PRODUCT SPECIALISTS Pathein Mawlamyine and Myeik city,['Medical Healthcare'],Management Skill
MEP Design Engineer,['Property Real Estate'],Designing implementation
Machine Operator Injection Molding,['Manufacturing Warehousing'],Banking and Finance Skill
Maintenance Leader,"['Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages']",Administration and maintenance and Control the vehicle management and Vehicle Maintenance Knowledge
Male Posts,['Agriculture'],Driving
Manager Business Development,['Manufacturing Warehousing'],Banking and Finance Skill
Manager Finance,['Medical Healthcare'],Banking
Manager Sales Marketing,"['Manufacturing Warehousing', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Banking and Finance Skill and Sales Management and Project management and planning and Customer Relationship Building and Marketing Management and Market Research
Marketing Administrative,"['Education Training', 'Education Training', 'Education Training']",Administration Marketing Sal and Marketing and Coustomer Suport and Sales Marketing
Marketing Assistant,"['IT Telecom', 'Retail Fashion FMCG']",Sales Marketing and Proactive and teamwork skills
Marketing Assistant FVS,['Banking Micro finance Insurance'],Sales Marketing
Marketing Communication Executive,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Microsoft Word Excel Power Po and Language Fluent in English and Facebook Page Digital Marketing and Contents Creation
Marketing Event Staff,['Shipping Logistics'],Sales Marketing
Marketing Executive,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Hospitality Hotel']",Marketing Analytics and Marketing Planning and Digital Marketing Management and Marketing Executive and Sales and Marketing and Marketing Digital Marketing and Event Planner and Manage events and Creativity Event planner and Banquets Catering and Events and Event Planning and Management and Marketing Creative
Marketing Executive Mandalay Female Posts,['Agriculture'],Sale digital marketing
Marketing Executive Thailand,['Education Training'],skill in Thai and Myanmar
Marketing Manager,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Education Training', 'Education Training', 'Education Training', 'Food Beverages', 'Food Beverages', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Team Building and Communicative English and Management Sales Marketing and team management leadership and Microsoft Word Presentation and Good communication skill and Digital Marketing Ads and Teamwork communication skills and Market Survey and Marketing and Communication and Marketing Management and Communication and Marketing Man and FMCG Field and Leadership skill and Communication Skills and Technical skill and Organization skill and Creative Skills
Marketing Manager Female,['Manufacturing Warehousing'],Sales Marketing Management Pr
Marketing Staff,"['Shipping Logistics', 'Retail Fashion FMCG', 'Energy Utilities', 'Hospitality Hotel', 'Food Beverages', 'Food Beverages']",Sales Marketing and Administration Marketing Sal and Sales Marketing and Administration Marketing Sal and Teamwork communication skills and Learing
Marketing Supervisor Mandalay,['IT Telecom'],Marketing Communications
Marketing and Communication Manager,['Retail Fashion FMCG'],Sales Marketing Manager
Material Planner Indirect Material,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Negotiations and Dealing and Payment and Procurement Purchase and Negotiating contracts and Connecting with Suppliers
Materials Controller,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Computer Word Excel Stock Contr and Planning communicating monitor and Problem solving advocacy
Mechanic M,['Automotive Aviation'],Soft Skills Hard Skills
Mechanical Electrical Engineer,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Proactive and teamwork skills and Proficient Problem Solving and Learn quickly to new job and Manufacturing maintenance Eng
Mechanical Maintenance Staff,['Automotive Aviation'],Teamwork and motivation
Medical Representative,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Customer Relationship Building and Teamwork and Reporting and Sales Marketing and Sales Management and Sales Management and Sales Marketing
Medical Sales Representative,['Medical Healthcare'],Sales Marketing
Medical Technologist Post,"['Medical Healthcare', 'Medical Healthcare']",Proactive and teamwork skills and interpersonal skills
Membership Executive,"['NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity']",Sales Marketing and Training and English Intermediate and Learn quickly to new job and Able to communicate with people
Merchandiser,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Computer excel word internet em and Microsoft Office and Negotiation and Computer Email and Internet
Merchandising Supervisor,['Manufacturing Warehousing'],Merchandising skills
Micro Lab Technician,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Production and Quality control and Quality Management System and Able to manage and release and System Testing and Monitoring
Modern Funiture leader and staff,['Manufacturing Warehousing'],Entry
Modern Trade,['Retail Fashion FMCG'],Proactive and teamwork skills
Modern Trade Sales Executive Female Posts,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Sales Distribution and Communication Skills and ModernTrade
Monitoring Evaluation and Learning MEL Officer,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Data Analysis and Advance Excel and Data Analysis and Monitoring and Evalution
Myanmar Subject Teacher Urgent,['Education Training'],Language Literacy
Odoo ERP Support Ywarthargyi,"['Shipping Logistics', 'Shipping Logistics']",Communicative English and Proficient User of ERP Odoo
Office Admin Staff,['Hospitality Hotel'],Office and Administration
Office Administrator,"['Law Compliance', 'Law Compliance', 'Law Compliance']",Computer Microsoft series and Communicative English and Proactive and teamwork skills
Office Assistant,"['NGO NPO Charity', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Administration and Bookkeeping of accounts and Computerize Skill and Email internet and Telephone Communications and Able to communicate with people
Office Assistant Male Post,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Microsoft Office and Communication Skills and Interpersonal skill and Being flexible
Office Associate Computer Typist,['Medical Healthcare'],Computer DTP
Office Associate Finance,"['Medical Healthcare', 'Medical Healthcare']",Computing Skills and Banking
Office Car Driver,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Driving Skill and Teamwork communication skills and Professional Driving Skills and Facebook other
Office Secretary,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",MS Office and Communicative English and Computer Email and Internet and Travel arrangement and recording meeting minute and Organisation Time Management and Can travel and Arrange meetings
Office Staff,"['Food Beverages', 'Food Beverages', 'Food Beverages', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",communication with all levels and Stock Management and Computer Skills and Microsoft Word and Microsoft Excel and Microsoft PowerPoint
Office Staff Bayint Naung Ygn Female Yangon,['Agriculture'],MS Office Suit
Office Staff Bayint Naung Ygn Male Yangon,['Agriculture'],Data entry job
Office Staff Mandalay Female,['Agriculture'],Office Admin
Office Staff Mandalay Male,['Agriculture'],Office Management facility
Office Staff Mandalay Male Female,['Agriculture'],Data entry job
Office Staff Yangon Male Female,['Agriculture'],Data Entry
Office Staffs,['Construction Engineering'],Microsoft s
Office team leader,"['NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity']",English Communication Skills and Computer Email and Internet and English and Myanmar Typing Ski
Online English Teacher,"['Education Training', 'Education Training']",OS Apple platform and Computer excel word internet em
Online Marketing Associate,"['IT Telecom', 'IT Telecom', 'IT Telecom']",Communicative English and Online Marketing and Social Media Ads
Online Media Marketing,"['Entertainment Events', 'Entertainment Events', 'Entertainment Events']",COMPUTER and Teamwork communication skills and Problem solving advocacy
Online Sales Person,"['Call Center', 'Call Center']",customer services and Customer Relationship Building
Online School Teacher Work from Home,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Teaching and Classroom Management and Self Learning and Learning and Self Study and Educational Management and Teaching and Classroom Management and Self learning and Learning and Self Study and Educational Management
Opeartion Supervisor,"['Entertainment Events', 'Entertainment Events']",Muti tasking Problem sloving and event operation
Operation Assistant Custom Port Clearance,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Microsoft Office and Communication Skills and Teamwork and Enthusiastic and open minded
Operation Associate Cash Collector Male Posts Yangon,['Shipping Logistics'],Cash Collecting
Operation Efficiency Reliability Supervisor FP R Supervisor,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Process Improvement and Automation System and Manufacturing Operations
Operation Manager,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Construction Engineering']",Sale Admin Account Logistic WH and Excel Software and Teamwork communication skills and Proactive and teamwork skills
Operation Manager Sales Marketing Spa Management,"['Medical Healthcare', 'Medical Healthcare']",Sales Marketing Manager and Communication Skills
Operations Manager Hotel Max NayPyiTaw,"['Hospitality Hotel', 'Hospitality Hotel']",Administration HR and Team work leadership analytic
Operations Supervisor,"['Travel Tourism Transportation', 'Travel Tourism Transportation']",operation project and operation project
Operations Supervisor Warehouse,['Shipping Logistics'],Warehouse Mamagement
Operator Production,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Operation and to maintain machines and Manufacturing Processes
PET Machine Operator Hlaing Thar Yar Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Operation and Production and Quality control and Monitoring Tools and Plastic Injection Molding
PHP Laravel,"['Advertising Media Communications', 'Advertising Media Communications']",Laravel Framework and PHP Laravel
PHP Laravel Developer Team Leader,['Food Beverages'],Software Develpment
PO PR Controller,"['IT Telecom', 'IT Telecom']",Microsoft s and Microsoft word excel and Powe
PROJECT ADMINISTRATOR PROJECT ADMIN,"['Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Communication Administration and Administration and Organization and Administrative work and Adminstrative and Administration Communication and Organization and administrative
Page Editor Moderator,"['Retail Fashion FMCG', 'Retail Fashion FMCG']",Social Media and Facebook digital tools
Pastry Chef,['Hospitality Hotel'],Proactive and teamwork skills
Personal Assistant,"['Agriculture', 'Advisory and Financial Services', 'Advisory and Financial Services', 'Advisory and Financial Services', 'Advisory and Financial Services', 'Advisory and Financial Services']",Communication and Organization and Problem Solving Skill and Interpersonal skill and Time management and Personal Assistant and Multitasking skills
Personal Assistant to Principal,"['Education Training', 'Education Training', 'Education Training']",Secretary skill and Personal Assiatant and Secretary Personal Assistant
Personal Driver Male Posts Yankin Yangon,['Automotive Aviation'],Professional Driving Skills
Pharmacist,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Retail Fashion FMCG']",Customer service experience and Computer Email and Internet and Team work and hard working and Clinical care and Clinical Pharmacist and MS Word MS Excel MS PowerPoin
Photographer Assistant,['Retail Fashion FMCG'],Teamwork communication skills
Photoshop Specialist or Lighting Specialist posts,['Recruitment'],Photo Editing Photoshop
Physical Education Teacher,['Education Training'],Teamwork communication skills
Physics Teacher,"['Education Training', 'Education Training', 'Education Training', 'Education Training']",Teaching sharing Knowledge and Teaching and Presentation and Physics Tutor and Physics teacher
Planning Engineer Head Office,"['Construction Engineering', 'Construction Engineering']",Proactive and teamwork skills and Planning communicating monitor
Preorder Sales Representative,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Sales Distribution and Retails Wholesale Distribution and Retail Category Management and Teamwork communication skills
Presale Engineer,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",IT literacy and Teamwork communication skills and Work with patience and Networking Specializezd and IT literacy and Teamwork communication skills and Ability to work flexibly and Patient and honestly speaking
Presales Engineer,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Communication Skills and Teamwork and Technical skill and Sales and Marketing
Preschool Assistant Teacher,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Teamwork and collaboration and Active Listening Communication and English Intermediate and English Communication Skills and Good Commuincation skills and Strong work ethic positive and Positive mental attitude and Positive attitude
Preschool Lead teacher,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",communication with all levels and Language Fluent in English and Analysis and Design and Good teamwork and leadership and Proactive and teamwork skills
Presenter,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Teamwork and Social Media and Media Advertising and Services and TV and Entertainment Production and Advertising Promotions
Primary Mathematics Teacher,"['Education Training', 'Education Training', 'Education Training']",Maths skill and Basic Math and Good at Math
Printing Machine Operator Male Posts for Vietnam,['Manufacturing Warehousing'],Teamwork communication skills
Printing Machine Technical Position Male,['Manufacturing Warehousing'],Teamwork communication skills
Printing Machine Technician Male post for Vietnam,"['Manufacturing Warehousing', 'Manufacturing Warehousing']",Proficient Problem Solving and Ability to manage
Procurement,['Construction Engineering'],Logistics Supply Management
Procurement Assistant,"['Food Beverages', 'Food Beverages']",Procurement support and Procurement Strategies
Procurement Assistant Ywarthargyi,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Communication Skills and Negotiation Skills and Material purchasing
Procurement Engineer,"['Construction Engineering', 'Construction Engineering']",Communication Skills and Proactive and teamwork skills
Procurement Engineer Civil MEP Overall,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Strong Communication Skill and Good interpersonal Skill and Procurement and Purchasing
Procurement Executive Win Myint Mo Industries Company,['Energy Utilities'],Proactive and teamwork skills
Procurement International Relations Assistant Officer,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Supply Chain Management and Procurement and Supply Chain and Logistics and Procurement and Logistics skill
Procurement Manager INTERNATIONAL SOURCING,"['Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations']",Local Oversea Purchasing and Procurement Vendor Management and Computer Processional Advance and Flexible and sociable person in and Proactive and teamwork skills and Local Oversea Purchasing and Procurement Vendor Management and Flexible and sociable person in and Computer Professional and Proactive and teamwork skills
Procurement Officer,"['Medical Healthcare', 'Medical Healthcare']",English Intermediate and Procurement and purchasing
Procurement Officer Male and Female Post,['Agriculture'],Teamwork communication skills
Procurement and Operations Specialist,"['NGO NPO Charity', 'NGO NPO Charity', 'NGO NPO Charity']",Microsoft Office and Operations Admin logistics and Procurement Purchase
Product Executive,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Sales Business Analysis and Sales Marketing and Sales Management and Businesses Development and Negotiation Skills
Product Executive Product Specialist,"['Medical Healthcare', 'Medical Healthcare']",Sales Management and Sales Marketing
Product Manager Femal Male,"['Medical Healthcare', 'Medical Healthcare']",Product Development and Training and health education
Product Specialist,['Medical Healthcare'],Sales and Marketing
Product Specialist Sales Marketing,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Communication Skills and Sales Marketing and Negotiation Skills
